e^s_erum (i)	to be straight, in order, be a success; ^S to put in order; ^St to keep in ordere, lead aright
ez_ebum (i)	to leave, leave behind; ^S causative
ki^sp_u (pl.)	sorcery
nad^um (-i)	to throw, cast; to throw murder on: accuse of murder
nak_arum (i)	to be foreign, be in enmity
na.t_alum (u/a)	to look at, see
n_ertum	murder
^sulu_h_hum (< ^SU.LU_H)	ritual cleansing, hand washing, ritual
^suttum, pl. ^sun_atum	dream
warka (conj.)	after

en^sum	weak
e^srum	ten
kibr_atum (pl.)	world-regions
man_a'um, man^um (wr. MA.NA)	mina
naw_arum	to be bright; D to enlighten, shed light on
^sitt_an	2/3
wab_alum (ubba., _ubil)	to carry
wal_adum (ullad, _ulid)	to bear, give birth to
wa^s_abum (u^s^sab, _u^sib)	to sit, dwell
wat_Arum (ittir, _itir)	to be excessive; ^S to make excessive, multiply
wu^s^surum (D)	to release, let go
z_a'irum	hostile; enemy

alpum	ox
b_irum	divination
el^um (-i)	to go up; Gt + ina: to forfeit
en^um (-i)	to change (transitive)
gimrum	totality
id^um (-e)	to know
izuzzum	to stand
izuzzum + dat.	to stand before, come before
izuzzum + ana, ina p_an(_i)	to stand in the service of, to serve
kal^um	entirety
nabalkutum	to cross over, transgress, revolt
napalsu_hum	to prostrate oneself
napark^um (-u)	to cease, fail, stop work
na^s^um (-i)	to raise, bear, carry; 'raise the eye to': covet
n_i^sum	lifting
n_i^s q_atim	prayer
num_atum	household goods
n_urum	light
sarr_atum (fem. pl.)	lies, deception
.s_abum (collective)	soldiers, workmen
^sammum	plant, vegetation
^s_ib_utum	testimony
-^su	its, his
wap^um (-i)	to become visible; ^S make visible, glorify
wa.s^um (-i)	to go out; ^S causative
